title,link,company,location
Слесарь МСР,https://aktau.hh.kz/vacancy/80152280?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ГК МРК,Ростов-на-Дону
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79609632?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ЭМПП,"Москва, Текстильщики и еще 1 "
Слесарь,https://aktau.hh.kz/vacancy/79973857?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО СВ-М,Санкт-Петербург
Слесарь по сборке металлоконструкций,https://aktau.hh.kz/vacancy/80136852?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Универсал.Производственная Компания FERRUM,Воронеж
Электрослесарь (слесарь) дежурный и по ремонту оборудования,https://aktau.hh.kz/vacancy/79989821?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Хужир Энтерпрайз,Улан-Удэ
Слесарь-сборщик конструкций,https://aktau.hh.kz/vacancy/79196204?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Термо Топ Тюмень,Тюмень
Слесарь по ремонту оборудования,https://aktau.hh.kz/vacancy/79726355?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,НерудСтройСервис,Краснодар
Слесарь по ремонту технологический установок,https://aktau.hh.kz/vacancy/80150984?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Уралтехпродукт,Тюмень
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/80046190?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Научно-технический центр Русич,Ярославль
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/80000307?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ДИОКСИД,"Екатеринбург, Ботаническая"
Слесарь-сантехник,https://aktau.hh.kz/vacancy/79916992?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ПК ДЭН,Санкт-Петербург
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79965227?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Мега Драйв,Набережные Челны
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/80131890?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ОАО Томское пиво,Томск
Слесарь по ремонту оборудования,https://aktau.hh.kz/vacancy/80190474?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ЛД ТАРА,Ростов-на-Дону
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79675477?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Моторный завод (ООО ЧТЗ-Уралтрак),Челябинск
Слесарь-ремонтник 4-6 разряд,https://aktau.hh.kz/vacancy/78135180?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,АО ЛМЗ им. К.Либкнехта,"Санкт-Петербург, Выборгская"
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/79881954?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ТД СПЕЦМАШ,Ярославль
Слесарь-сантехник,https://aktau.hh.kz/vacancy/80102511?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Инженерный центр Мисал,Казань
Слесарь тросовых изделий,https://aktau.hh.kz/vacancy/79698089?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ТД Стальной канат,Кемерово
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/77946218?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Арум,Нижний Новгород
Слесарь-сантехник,https://aktau.hh.kz/vacancy/80172778?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Производство «Фабрика Кухни»,"Москва, Озёрная"
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80135104?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Консалтинг Групп,Владимир
Слесарь-сварщик,https://aktau.hh.kz/vacancy/79861592?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Мастерская художественной ковки,Санкт-Петербург
Слесарь-сборщик,https://aktau.hh.kz/vacancy/79602042?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Кировский Завод Кранокомплект,Киров (Кировская область)
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/80122282?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Кмп Строй,Санкт-Петербург
Слесарь по сборке металлоконструкций,https://aktau.hh.kz/vacancy/79887491?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Завод Металлических Конструкций Пролетарий,Липецк
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79895849?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Токарные Технологии,"Санкт-Петербург, Кировский завод и еще 1 "
Слесарь-монтажник,https://aktau.hh.kz/vacancy/78586221?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Ремонтно-монтажный комплекс,Нижний Новгород
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80142087?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,АО НТЦ Техиндустрия,Дубна
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/78298903?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ДжиЭрСи,Москва
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80149267?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО БС-группа,Люберцы
Слесарь,https://aktau.hh.kz/vacancy/79795668?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,АО Центр ВОСПИ,"Москва, Беляево и еще 1 "
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80135089?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Консалтинг Групп,Воронеж
Слесарь механосборочных работ (5-6 разряд),https://aktau.hh.kz/vacancy/79168012?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Латунная мастерская,Москва
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/79762367?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Производственное объединение ЭнергоИндустрия,Барнаул
Слесарь/Cлесарь-сантехник,https://aktau.hh.kz/vacancy/79355281?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Строй ВОК,Самара
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/79472864?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Промышленная группа МКЗ,Волоколамск
Слесарь механосборочных работ,https://aktau.hh.kz/vacancy/80125414?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Jobers,Екатеринбург
Слесарь по ремонту технологических установок,https://aktau.hh.kz/vacancy/80152993?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Уралтехпродукт,Пермь
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/79324853?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО СП Зартекс,Екатеринбург
Слесарь по ремонту технологический установок,https://aktau.hh.kz/vacancy/80150992?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Уралтехпродукт,Сургут
Слесарь-сборщик металлоконструкций,https://aktau.hh.kz/vacancy/79351727?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ПромКомАльянс,Красноярск
Слесарь механосборочных работ/заливщик форм,https://aktau.hh.kz/vacancy/80072128?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Маркетинг Сити,"Нижний Новгород, Автозаводская и еще 2 "
Слесарь-сборщик,https://aktau.hh.kz/vacancy/79411576?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО ГНЁМ ВСЁ,Санкт-Петербург
Слесарь,https://aktau.hh.kz/vacancy/79365229?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Югтехпом,Ростов-на-Дону
Слесарь-сборщик,https://aktau.hh.kz/vacancy/80001169?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,АО Авиафарм,Москва
Слесарь,https://aktau.hh.kz/vacancy/79383067?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО БМТ-Сервис,Владимир
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/79682295?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Автомойка самообслуживания Амиго,Новокузнецк
Слесарь механосборочных работ,https://adsrv.hh.ru/click?b=399185&c=30&meta=sARCxJGRJBlu-IWyZke5U9J22E61KYsFff3jhw34w9mmwMx5OVHPIXIpSihJ2RKm7jbrLHrB-ICE7TOTp8Ky6oFJZrH2QIXJV1bsGNnqdD91POKRgtB-j4ugDlwU1yNRbXdkT5hJhSHMt5O1e0cD-HXKxgRK8i1qeG2-_tMJUhS9fI0WxdSgFezFlKIIfquRXdUQBhyoxP2EGkCUv9LwEg%3D%3D&place=35&clickType=link_to_vacancy,АО ЧЗМ,Чебоксары
Слесарь механо-сборочных работ,https://adsrv.hh.ru/click?b=399091&c=30&meta=bOKp0BGIComoEdnR3b1nIbhadKdDWkqKeKfbtVYAzzYAYVjAGpHCXT7_pZBD6BB36wJSa4fET-TaiWUJO2dQLHQ6GoAjXwVSB3He9ITyEa1U7xr34Fk26B6IEn-_IvhkSQy-Xk-KfqNzZTD8GRDXSqdTgcT3UHt0Udc3ElD8yMxmg2EeQ7t7hXKsCYdYPpPkQR3mvSFpMojYfDuHYJeDPQ%3D%3D&place=36&clickType=link_to_vacancy,ЗАО Региональный Центр Лазерных Технологий,"Екатеринбург, Машиностроителей"
Слесарь,https://aktau.hh.kz/vacancy/79383067?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО БМТ-Сервис,Владимир
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/79682295?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,Автомойка самообслуживания Амиго,Новокузнецк
Слесарь-ремонтник,https://aktau.hh.kz/vacancy/79716013?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,"Эст, кондитерская фабрика",Санкт-Петербург
Слесарь МСР,https://aktau.hh.kz/vacancy/80060244?from=vacancy_search_list&query=%D1%81%D0%BB%D0%B5%D1%81%D0%B0%D1%80%D1%8C,ООО Стартафф,Ульяновск
